Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
layer_by_layer,collnetchain,SIMPLE,False,False,1.7359128203243017,111.93433972541398,111.02301204042898,16.060523008
layer_by_layer,collnetchain,SIMPLE,False,True,1.7514642343545954,110.38340418987563,110.03722837824238,16.060523008
layer_by_layer,collnetchain,SIMPLE,True,False,1.667841529008001,113.87542677167269,115.55430572989135,16.060523008
layer_by_layer,collnetchain,SIMPLE,True,True,1.6822106653514008,116.05567165515723,114.56726194976355,16.060523008
layer_by_layer,collnetchain,LL,False,False,1.7421285523256909,106.85872499837951,110.62689357494087,16.060523008
layer_by_layer,collnetchain,LL,False,True,1.752781600613768,110.66631588565585,109.95452592868011,16.060523008
layer_by_layer,collnetchain,LL,True,False,1.6688312206727762,115.1191635278562,115.48577685064156,16.060523008
layer_by_layer,collnetchain,LL,True,True,1.6683068880035232,115.16835543660412,115.52207290988117,16.060523008
layer_by_layer,collnetchain,LL128,False,False,1.8293220943305641,111.38804317507916,105.35392894958048,16.060523008
layer_by_layer,collnetchain,LL128,False,True,1.7337536096262436,112.00743857061127,111.16127971237347,16.060523008
layer_by_layer,collnetchain,LL128,True,False,1.6927744033746421,115.62785834442403,113.85230634855373,16.060523008
layer_by_layer,collnetchain,LL128,True,True,1.676289322708423,114.31103735147539,114.9719605924634,16.060523008
layer_by_layer,collnetdirect,SIMPLE,False,False,1.7362230033613741,111.05065753475617,111.00317734465952,16.060523008
layer_by_layer,collnetdirect,SIMPLE,False,True,1.7355932909995317,106.77563672495545,111.04345179913005,16.060523008
layer_by_layer,collnetdirect,SIMPLE,True,False,1.6820837643463165,115.04822256990613,114.5759052177145,16.060523008
layer_by_layer,collnetdirect,SIMPLE,True,True,1.6762006973537307,115.11385931136928,114.9780394771717,16.060523008
layer_by_layer,collnetdirect,LL,False,False,1.7228868672779452,106.88764763063767,111.862405833121,16.060523008
layer_by_layer,collnetdirect,LL,False,True,1.777570034377277,112.07461745175306,108.42119647877412,16.060523008
layer_by_layer,collnetdirect,LL,True,False,1.6756545193493366,114.74938755344984,115.01551646030018,16.060523008
layer_by_layer,collnetdirect,LL,True,True,1.6694079339504242,114.51087359292123,115.44588116095734,16.060523008
layer_by_layer,collnetdirect,LL128,False,False,1.8033643523231149,109.83621368145717,106.87040015165421,16.060523008
layer_by_layer,collnetdirect,LL128,False,True,1.7619626900025953,110.6478913500217,109.38158398332266,16.060523008
layer_by_layer,collnetdirect,LL128,True,False,1.686669261349986,115.39736341619793,114.26441114942988,16.060523008
layer_by_layer,collnetdirect,LL128,True,True,1.6671693636259686,115.65992987789227,115.60089464026305,16.060523008
layer_by_layer,nvls,SIMPLE,False,False,1.7081363739756246,109.90510443646033,112.82838588785314,16.060523008
layer_by_layer,nvls,SIMPLE,False,True,1.773862074284504,108.10737363703007,108.64783274073724,16.060523008
layer_by_layer,nvls,SIMPLE,True,False,1.6811197452868025,114.94236911644306,114.64160747164414,16.060523008
layer_by_layer,nvls,SIMPLE,True,True,1.6868723146617413,114.90819378569196,114.25065683803477,16.060523008
layer_by_layer,nvls,LL,False,False,1.7380618863583852,111.21436449060764,110.88573511948019,16.060523008
layer_by_layer,nvls,LL,False,True,1.7191074806420754,112.04961179533032,112.10833070193958,16.060523008
layer_by_layer,nvls,LL,True,False,1.694068213691935,114.15606024983093,113.76535395347848,16.060523008
layer_by_layer,nvls,LL,True,True,1.6714896299721052,114.81940698766317,115.3021032832949,16.060523008
layer_by_layer,nvls,LL128,False,False,1.649432571604848,110.96108739966876,116.84398214865078,16.060523008
layer_by_layer,nvls,LL128,False,True,1.6885869110313554,116.024711073459,114.13464636788319,16.060523008
layer_by_layer,nvls,LL128,True,False,1.670892350686093,115.72600149936218,115.34331931848499,16.060523008
layer_by_layer,nvls,LL128,True,True,1.6661577159538865,115.92187614948163,115.67108449974252,16.060523008
layer_by_layer,nvlstree,SIMPLE,False,False,1.8495011266010504,112.02429954759387,104.2044620465767,16.060523008
layer_by_layer,nvlstree,SIMPLE,False,True,1.7409114183392376,112.8952687481994,110.70423682777233,16.060523008
layer_by_layer,nvlstree,SIMPLE,True,False,1.6823260829939197,115.00051897573822,114.55940194960203,16.060523008
layer_by_layer,nvlstree,SIMPLE,True,True,1.6743061513019104,114.22206780922673,115.1081418426012,16.060523008
layer_by_layer,nvlstree,LL,False,False,1.7268408737145364,110.31857319251183,111.60627066779723,16.060523008
layer_by_layer,nvlstree,LL,False,True,1.762501609356453,107.28038468064099,109.34813842375479,16.060523008
layer_by_layer,nvlstree,LL,True,False,1.668475039691354,113.97886486846586,115.51043040335315,16.060523008
layer_by_layer,nvlstree,LL,True,True,1.6952356586698443,114.95912101896482,113.68700803711353,16.060523008
layer_by_layer,nvlstree,LL128,False,False,1.7492133183404803,106.56992202814222,110.17882606499015,16.060523008
layer_by_layer,nvlstree,LL128,False,True,1.7245063992838066,110.3961346449532,111.75735273121623,16.060523008
layer_by_layer,nvlstree,LL128,True,False,1.6806549013126642,114.61906414048995,114.67331562325641,16.060523008
layer_by_layer,nvlstree,LL128,True,True,1.6814885983088363,114.89424661444275,114.61645957387708,16.060523008
layer_by_layer,pat,SIMPLE,False,False,1.8174977066616218,110.97099607964401,106.03934697997471,16.060523008
layer_by_layer,pat,SIMPLE,False,True,1.7407821883292247,108.92922122901693,110.71245515039169,16.060523008
layer_by_layer,pat,SIMPLE,True,False,1.6939880603458732,115.22234376336671,113.77073691573113,16.060523008
layer_by_layer,pat,SIMPLE,True,True,1.6887191403657198,113.97675460223057,114.12570944761244,16.060523008
layer_by_layer,pat,LL,False,False,1.7504431783842545,110.04378284432241,110.10141450572299,16.060523008
layer_by_layer,pat,LL,False,True,1.7913836813531816,107.86928700171842,107.5851432376663,16.060523008
layer_by_layer,pat,LL,True,False,1.6885228206713994,114.37317168307504,114.13897851576988,16.060523008
layer_by_layer,pat,LL,True,True,1.675082525005564,115.93267617799435,115.05479107744846,16.060523008
layer_by_layer,pat,LL128,False,False,1.7554116843578715,112.76496822734576,109.78978416820733,16.060523008
layer_by_layer,pat,LL128,False,True,1.7456720806658268,110.88573797149533,110.40233276715476,16.060523008
layer_by_layer,pat,LL128,True,False,1.6806972553798307,113.79822356571661,114.67042582183825,16.060523008
layer_by_layer,pat,LL128,True,True,1.6915244433718424,115.31200255784219,113.93643804982462,16.060523008
layer_by_layer_optimized,ring,SIMPLE,False,False,1.7369434743498762,103.33409669560524,110.95713406801327,16.060523008
layer_by_layer_optimized,ring,SIMPLE,False,True,1.7330537126399577,110.67688921447616,111.20617240328946,16.060523008
layer_by_layer_optimized,ring,SIMPLE,True,False,1.6739335626674194,113.66173521942578,115.13376292240055,16.060523008
layer_by_layer_optimized,ring,SIMPLE,True,True,1.6682885903088998,115.68935089869763,115.52333994942377,16.060523008
layer_by_layer_optimized,ring,LL,False,False,1.8011420969851315,111.77318544536796,107.00225722034797,16.060523008
layer_by_layer_optimized,ring,LL,False,True,1.7294761253676068,108.65532392217266,111.43621303880983,16.060523008
layer_by_layer_optimized,ring,LL,True,False,1.6621065999691684,116.56229013616846,115.95301405792807,16.060523008
layer_by_layer_optimized,ring,LL,True,True,1.676210958044976,116.49087312961365,114.97733565516327,16.060523008
layer_by_layer_optimized,ring,LL128,False,False,1.7369077935970079,109.4976719541232,110.95941342567075,16.060523008
layer_by_layer_optimized,ring,LL128,False,True,1.835460705993076,111.12177955422176,105.00157770891938,16.060523008
layer_by_layer_optimized,ring,LL128,True,False,1.6805666260576497,115.96220297211188,114.67933907750276,16.060523008
layer_by_layer_optimized,ring,LL128,True,True,1.664770246638606,114.27959235375143,115.76748824117931,16.060523008
layer_by_layer_optimized,tree,SIMPLE,False,False,1.7250228219976027,107.00710182700048,111.72389576203986,16.060523008
layer_by_layer_optimized,tree,SIMPLE,False,True,1.7556214299984276,111.32799607448368,109.77666748586715,16.060523008
layer_by_layer_optimized,tree,SIMPLE,True,False,1.668564799008891,115.21193302933405,115.50421659768759,16.060523008
layer_by_layer_optimized,tree,SIMPLE,True,True,1.6549960423726588,116.57660547459307,116.45119687156536,16.060523008
layer_by_layer_optimized,tree,LL,False,False,1.7328397663465391,110.64731683224652,111.21990255240826,16.060523008
layer_by_layer_optimized,tree,LL,False,True,1.7504033123453457,103.6904613687415,110.10392210339698,16.060523008
